 Week 1
 Date	Time (ET)	 Away Team	 Home Team
  	8:30 pm 	 Denver Broncos 	 Oakland Raiders
 Mon Nov 7 	8:30 pm 	 Buffalo Bills 	 Seattle Seahawks

 Bye: Arizona, Chicago, Cincinnati, Houston, New England, Washington

  Week 10
 Date	Time (ET)	 Away Team	 Home Team
 Thu Nov 10 	8:25 pm 	 Cleveland Browns 	 Baltimore Ravens
 Sun Nov 13 	1:00 pm 	 Atlanta Falcons 	 Philadelphia Eagles
  	1:00 pm 	 Chicago Bears 	 Tampa Bay Buccaneers
  	1:00 pm 	 Denver Broncos 	 New Orleans Saints
  	1:00 pm 	 Green Bay Packers 	 Tennessee Titans
  	1:00 pm 	 Houston Texans 	 Jacksonville Jaguars
  	1:00 pm 	 Kansas City Chiefs 	 Carolina Panthers
  	1:00 pm 	 Los Angeles Rams 	 New York Jets
  	1:00 pm 	 Minnesota Vikings 	 Washington Redskins
  	4:05 pm 	 Miami Dolphins 	 San Diego Chargers
  	4:25 pm 	 Dallas Cowboys 	 Pittsburgh Steelers
  	4:25 pm 	 San Francisco 49ers 	 Arizona Cardinals
  	8:30 pm 	 Seattle Seahawks 	 New England Patriots
 Mon Nov 14 	8:30 pm 	 Cincinnati Bengals 	 New York Giants

 Bye: Buffalo, Detroit, Indianapolis, Oakland

  Week 11
 Date	Time (ET)	 Away Team	 Home Team
 Thu Nov 17 	8:25 pm 	 New Orleans Saints 	 Carolina Panthers
 Sun Nov 20 	1:00 pm 	 Arizona Cardinals 	 Minnesota Vikings
  	1:00 pm 	 Baltimore Ravens 	 Dallas Cowboys
  	1:00 pm 	 Buffalo Bills 	 Cincinnati Bengals
  	1:00 pm 	 Chicago Bears 	 New York Giants
  	1:00 pm 	 Jacksonville Jaguars 	 Detroit Lions
  	1:00 pm 	 Pittsburgh Steelers 	 Cleveland Browns
  	1:00 pm 	 Tampa Bay Buccaneers 	 Kansas City Chiefs
  	1:00 pm 	 Tennessee Titans 	 Indianapolis Colts
  	4:05 pm 	 Miami Dolphins 	 Los Angeles Rams
  	4:25 pm 	 New England Patriots 	 San Francisco 49ers
  	4:25 pm 	 Philadelphia Eagles 	 Seattle Seahawks
  	8:30 pm 	 Green Bay Packers 	 Washington Redskins
 Mon Nov 21 	8:30 pm 	 Houston Texans 	 Oakland Raiders

 Bye: Atlanta, Denver, N.Y. Jets, San Diego

  Week 12
 Date	Time (ET)	 Away Team	 Home Team
 Thu Nov 24 	12:30 pm 	 Minnesota Vikings 	 Detroit Lions
  	4:30 pm 	 Washington Redskins 	 Dallas Cowboys
  	8:30 pm 	 Pittsburgh Steelers 	 Indianapolis Colts
 Sun Nov 27 	1:00 pm 	 Arizona Cardinals 	 Atlanta Falcons
  	1:00 pm 	 Cincinnati Bengals 	 Baltimore Ravens
  	1:00 pm 	 Jacksonville Jaguars 	 Buffalo Bills
  	1:00 pm 	 Los Angeles Rams 	 New Orleans Saints
  	1:00 pm 	 New York Giants 	 Cleveland Browns
  	1:00 pm 	 San Diego Chargers 	 Houston Texans
  	1:00 pm 	 San Francisco 49ers 	 Miami Dolphins
  	1:00 pm 	 Tennessee Titans 	 Chicago Bears
  	4:05 pm 	 Seattle Seahawks 	 Tampa Bay Buccaneers
  	4:25 pm 	 Carolina Panthers 	 Oakland Raiders
  	4:25 pm 	 Kansas City Chiefs 	 Denver Broncos
  	8:30 pm 	 New England Patriots 	 New York Jets
 Mon Nov 28 	8:30 pm 	 Green Bay Packers 	 Philadelphia Eagles
  Week 13
 Date	Time (ET)	 Away Team	 Home Team
 Thu Dec 1 	8:25 pm 	 Dallas Cowboys 	 Minnesota Vikings
 Sun Dec 4 	1:00 pm 	 Denver Broncos 	 Jacksonville Jaguars
  	1:00 pm 	 Detroit Lions 	 New Orleans Saints
  	1:00 pm 	 Houston Texans 	 Green Bay Packers
  	1:00 pm 	 Kansas City Chiefs 	 Atlanta Falcons
  	1:00 pm 	 Los Angeles Rams 	 New England Patriots
  	1:00 pm 	 Miami Dolphins 	 Baltimore Ravens
  	1:00 pm 	 Philadelphia Eagles 	 Cincinnati Bengals
  	1:00 pm 	 San Francisco 49ers 	 Chicago Bears
  	4:05 pm 	 Buffalo Bills 	 Oakland Raiders
  	4:25 pm 	 New York Giants 	 Pittsburgh Steelers
  	4:25 pm 	 Tampa Bay Buccaneers 	 San Diego Chargers
  	4:25 pm 	 Washington Redskins 	 Arizona Cardinals
  	8:30 pm 	 Carolina Panthers 	 Seattle Seahawks
 Mon Dec 5 	8:30 pm 	 Indianapolis Colts 	 New York Jets

 Bye: Cleveland, Tennessee

  Week 14
 Date	Time (ET)	 Away Team	 Home Team
 Thu Dec 8 	8:25 pm 	 Oakland Raiders 	 Kansas City Chiefs
 Sun Dec 11 	1:00 pm 	 Arizona Cardinals 	 Miami Dolphins
  	1:00 pm 	 Chicago Bears 	 Detroit Lions
  	1:00 pm 	 Cincinnati Bengals 	 Cleveland Browns
  	1:00 pm 	 Denver Broncos 	 Tennessee Titans
  	1:00 pm 	 Houston Texans 	 Indianapolis Colts
  	1:00 pm 	 Minnesota Vikings 	 Jacksonville Jaguars
  	1:00 pm 	 New Orleans Saints 	 Tampa Bay Buccaneers
  	1:00 pm 	 Pittsburgh Steelers 	 Buffalo Bills
  	1:00 pm 	 San Diego Chargers 	 Carolina Panthers
  	1:00 pm 	 Washington Redskins 	 Philadelphia Eagles
  	4:05 pm 	 New York Jets 	 San Francisco 49ers
  	4:25 pm 	 Atlanta Falcons 	 Los Angeles Rams
  	4:25 pm 	 Seattle Seahawks 	 Green Bay Packers
  	8:30 pm 	 Dallas Cowboys 	 New York Giants
 Mon Dec 12 	8:30 pm 	 Baltimore Ravens 	 New England Patriots
  Week 15
 Date	Time (ET)	 Away Team	 Home Team
 Thu Dec 15 	8:25 pm 	 Los Angeles Rams 	 Seattle Seahawks
 Sat Dec 17 	8:25 pm 	 Miami Dolphins 	 New York Jets
 Sun Dec 18 	1:00 pm 	 Cleveland Browns 	 Buffalo Bills
  	1:00 pm 	 Detroit Lions 	 New York Giants
  	1:00 pm 	 Green Bay Packers 	 Chicago Bears
  	1:00 pm 	 Indianapolis Colts 	 Minnesota Vikings
  	1:00 pm 	 Jacksonville Jaguars 	 Houston Texans
  	1:00 pm 	 Philadelphia Eagles 	 Baltimore Ravens
  	1:00 pm 	 Tampa Bay Buccaneers 	 Dallas Cowboys
  	1:00 pm 	 Tennessee Titans 	 Kansas City Chiefs
  	4:05 pm 	 New Orleans Saints 	 Arizona Cardinals
  	4:05 pm 	 San Francisco 49ers 	 Atlanta Falcons
  	4:25 pm 	 New England Patriots 	 Denver Broncos
  	4:25 pm 	 Oakland Raiders 	 San Diego Chargers
  	8:30 pm 	 Pittsburgh Steelers 	 Cincinnati Bengals
 Mon Dec 19 	8:30 pm 	 Carolina Panthers 	 Washington Redskins
  Week 16
 Date	Time (ET)	 Away Team	 Home Team
 Thu Dec 22 	8:25 pm 	 New York Giants 	 Philadelphia Eagles
 Sat Dec 24 	1:00 pm 	 Atlanta Falcons 	 Carolina Panthers
  	1:00 pm 	 Miami Dolphins 	 Buffalo Bills
  	1:00 pm 	 Minnesota Vikings 	 Green Bay Packers
